estimator,name,cfg,level,direct_deps,resolved_calculators,n_resolved_stats,attn_mb_per_sample,attn_peak_mb_at_batch,model_passes,unresolved_stats,flags,tier,exclusion_reason,error
MaximumSequenceProbability,MaximumSequenceProbability,-,sequence,greedy_log_likelihoods,GreedyProbsCalculator,1,0,0,1,-,-,single_pass_cheap,,
Perplexity,Perplexity,-,sequence,greedy_log_likelihoods,GreedyProbsCalculator,1,0,0,1,-,-,single_pass_cheap,,
MeanTokenEntropy,MeanTokenEntropy,-,sequence,entropy,"EntropyCalculator,GreedyProbsCalculator",2,0,0,1,-,-,single_pass_cheap,,
MeanPointwiseMutualInformation,MeanPointwiseMutualInformation,-,sequence,"greedy_lm_log_likelihoods,greedy_log_likelihoods","GreedyLMProbsCalculator,GreedyProbsCalculator",3,0,0,2,-,-,single_pass_cheap,,
SelfCertainty,SelfCertainty,-,sequence,greedy_log_probs,GreedyProbsCalculator,1,0,0,1,-,-,single_pass_cheap,,
MeanConditionalPointwiseMutualInformation,MeanConditionalPointwiseMutualInformation,-,sequence,"entropy,greedy_lm_log_likelihoods,greedy_log_likelihoods","EntropyCalculator,GreedyLMProbsCalculator,GreedyProbsCalculator",5,0,0,2,-,-,single_pass_cheap,,
CCP,ClaimConditionedProbability,-,sequence,"greedy_tokens,greedy_tokens_alternatives,greedy_tokens_alternatives_nli","GreedyAlternativesNLICalculator,GreedyProbsCalculator",3,0,0,1,-,"needs_auxiliary_model,single_pass_plus_aux_model",single_pass_plus_aux_model,"One generation plus a second neural model (NLI cross-encoder) over that generation -- no sampling. INCLUDED in the primary table as its own row, flagged: it is materially cheaper than the sampling tier but is not a pure single-pass method.",
PTrue,PTrue,-,sequence,p_true,"GreedyProbsCalculator,PromptCalculator",2,0,0,2,-,-,single_pass_cheap,,
PTrueSampling,PTrueSampling,-,sequence,p_true_sampling,"GreedyProbsCalculator,SamplingGenerationCalculator,SamplingPromptCalculator",3,0,0,2,-,needs_sampling,needs_sampling,"Requires multiple sampled generations per input. Excluded from the primary table: cost is a multiple of the single-pass budget, so it is not a matched-compute comparison. Reported separately at n=300.",
MonteCarloSequenceEntropy,MonteCarloSequenceEntropy,-,sequence,sample_log_probs,SamplingGenerationCalculator,1,0,0,0,-,needs_sampling,needs_sampling,"Requires multiple sampled generations per input. Excluded from the primary table: cost is a multiple of the single-pass budget, so it is not a matched-compute comparison. Reported separately at n=300.",
MonteCarloNormalizedSequenceEntropy,MonteCarloNormalizedSequenceEntropy,-,sequence,"sample_log_probs,sample_tokens",SamplingGenerationCalculator,2,0,0,0,-,needs_sampling,needs_sampling,"Requires multiple sampled generations per input. Excluded from the primary table: cost is a multiple of the single-pass budget, so it is not a matched-compute comparison. Reported separately at n=300.",
LexicalSimilarity_rouge1,LexicalSimilarity,metric=rouge1,sequence,sample_texts,SamplingGenerationCalculator,1,0,0,0,-,needs_sampling,needs_sampling,"Requires multiple sampled generations per input. Excluded from the primary table: cost is a multiple of the single-pass budget, so it is not a matched-compute comparison. Reported separately at n=300.",
LexicalSimilarity_rouge2,LexicalSimilarity,metric=rouge2,sequence,sample_texts,SamplingGenerationCalculator,1,0,0,0,-,needs_sampling,needs_sampling,"Requires multiple sampled generations per input. Excluded from the primary table: cost is a multiple of the single-pass budget, so it is not a matched-compute comparison. Reported separately at n=300.",
LexicalSimilarity_rougeL,LexicalSimilarity,metric=rougeL,sequence,sample_texts,SamplingGenerationCalculator,1,0,0,0,-,needs_sampling,needs_sampling,"Requires multiple sampled generations per input. Excluded from the primary table: cost is a multiple of the single-pass budget, so it is not a matched-compute comparison. Reported separately at n=300.",
LexicalSimilarity_BLEU,LexicalSimilarity,metric=BLEU,sequence,sample_texts,SamplingGenerationCalculator,1,0,0,0,-,needs_sampling,needs_sampling,"Requires multiple sampled generations per input. Excluded from the primary table: cost is a multiple of the single-pass budget, so it is not a matched-compute comparison. Reported separately at n=300.",
NumSemSets,NumSemSets,-,sequence,"sample_texts,semantic_matrix_contra,semantic_matrix_entail","SamplingGenerationCalculator,SemanticMatrixCalculator",3,0,0,0,-,"needs_auxiliary_model,needs_sampling",needs_sampling,"Requires multiple sampled generations per input. Excluded from the primary table: cost is a multiple of the single-pass budget, so it is not a matched-compute comparison. Reported separately at n=300.",
